ac_freq,taxi_margin,loading_time,scheduler,min_tugs,util_pct_tugs,avg_iddle_t_per_ac,avg_taxi_t_per_ac,simulation_end_result
600,900,1800,Schedule_Algo.greedy,3,28.906509662409192,0.0,560.552995391705,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.89551575203252,0.0,568.0991071428572,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.524844133761576,0.0,558.1805555555555,Status.Success
600,900,1800,Schedule_Algo.greedy,3,28.59355491283802,0.0,555.5649769585253,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.85015897000031,0.0,565.3541666666666,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.112936606489,0.0,561.4976958525345,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.14436391770483,0.03125,566.763133640553,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.87749044867544,0.0,570.4598214285714,Status.Success
600,900,1800,Schedule_Algo.greedy,3,30.06826530451371,0.0,575.0883928571428,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.703173625262625,0.0,559.7916666666666,Status.Success
600,900,1800,Schedule_Algo.greedy,3,28.804775856094256,0.0,560.9926267281106,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.658333727139546,1.1111111111111112,566.8633928571428,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.69777440566515,0.0,566.4330357142858,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.39064699277253,0.0,559.9589285714286,Status.Success
600,900,1800,Schedule_Algo.greedy,3,30.18543901939468,0.0,577.6544642857143,Status.Success
600,900,1800,Schedule_Algo.greedy,3,30.00316255534472,0.0,572.3446428571428,Status.Success
600,900,1800,Schedule_Algo.greedy,3,30.02303638486541,0.0,573.9839285714286,Status.Success
600,900,1800,Schedule_Algo.greedy,3,28.91135572668147,0.0,553.3455357142857,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.48172916169095,0.0,568.9695852534562,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.083526865412264,0.0,555.0232142857143,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.52845374491052,0.0,574.758525345622,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.784879953214155,0.0,568.4160714285714,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.365041767334628,0.0,560.8830357142857,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.762526302466497,0.0,566.8910714285714,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.969157769869515,0.0,571.3473214285714,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.4188326060836,0.0,560.6982142857142,Status.Success
600,900,1800,Schedule_Algo.greedy,3,28.791700375957745,0.0,557.4064516129032,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.35203551525456,0.75,562.0660714285714,Status.Success
600,900,1800,Schedule_Algo.greedy,3,29.792966534316506,0.0,570.5946428571428,Status.Success
